region,hospitals_per_1k,human_development_index,school_enrollment_primary,school_enrollment_secondary
Europe & Central Asia (IDA & IBRD countries),6.362848,,92.15259,100.0818
Kuwait,2.0,0.808,82.63321,
IDA total,,,,48.56943
Estonia,5.0,0.882,93.68129,116.65174
Kyrgyz Republic,4.5,,89.85774,96.36685
Austria,7.6,0.914,88.61718,99.95784
Latvia,5.8,0.854,96.30354,109.1557
Algeria,1.9,0.759,97.63517,
Italy,3.4,0.883,95.65574,101.3531
Post-demographic dividend,4.607358,,96.22047,103.8062
Namibia,,0.645,97.48892,
Uganda,,0.528,,
St. Kitts and Nevis,2.3,,93.7852,106.91421
Slovenia,4.6,0.902,98.26288,114.48921
"Venezuela, RB",0.8,0.726,87.39174,88.07702
Lithuania,7.3,0.869,98.17529,108.23794
Azerbaijan,4.7,0.754,92.42467,94.77549
Sao Tome and Principe,,0.609,93.0763,89.33812
Monaco,13.8,,,
Germany,8.3,0.939,90.14286,97.5935
Poland,6.5,0.872,95.78475,111.9702
Guyana,1.6,0.67,,
Gabon,,0.702,,
Vietnam,2.6,0.693,,
Middle East & North Africa (excluding high income),1.5166967,,93.41539,78.34471
Equatorial Guinea,,0.588,,
Netherlands,,0.934,98.64765,134.27943
"Iran, Islamic Rep.",1.5,0.797,99.70291,86.31149
Botswana,,0.728,,
Latin America & Caribbean,2.1755204,,93.71661,97.94031
Mozambique,,0.446,93.92934,35.40672
Nepal,0.3,0.579,96.2984,80.17992
OECD members,3.705241,,95.5958,104.7364
Ghana,,0.596,86.15823,74.67949
Pre-demographic dividend,,,76.64759,41.89602
Trinidad and Tobago,3.0,0.799,,
Dominican Republic,1.6,0.745,92.71356,81.59329
Jordan,1.4,0.723,80.8644,65.19398
Greece,4.3,0.872,98.22037,104.8779
Georgia,2.6,0.786,96.43624,106.29635
IDA only,,,81.34393,48.37439
United States,2.9,0.92,94.62633,99.27558
Turkmenistan,7.4,0.71,,89.67061
Paraguay,,0.724,,
Early-demographic dividend,,,90.30715,74.8815
Gibraltar,,,99.70191,92.89406
Oman,1.6,0.834,86.25355,107.09077
Romania,6.3,0.816,82.22835,89.0691
Europe & Central Asia,5.925031,,94.87481,105.1883
East Asia & Pacific (excluding high income),3.6474004,,,84.82498
Japan,13.4,0.915,,
Lesotho,,0.518,93.31062,62.01393
Middle income,,,90.26697,77.21937
Bulgaria,6.8,0.816,86.4454,96.82091
Fragile and conflict affected situations,,,77.02801,46.97909
Europe & Central Asia (excluding high income),6.357544,,91.81915,99.89004
Tanzania,,,81.32921,32.03806
China,4.2,0.758,,
Lao PDR,1.5,0.604,91.46712,65.76873
Cameroon,,0.563,92.87395,60.05816
Mauritania,,0.527,79.5744,39.40897
Barbados,5.8,0.813,96.69287,102.7072
Least developed countries: UN classification,,,80.77344,46.67331
Dominica,3.8,0.724,95.42178,101.05985
Marshall Islands,,0.698,73.15121,63.94497
North America,2.9,,95.17325,100.5219
"Yemen, Rep.",0.7,0.463,84.16556,51.58068
St. Lucia,1.3,,95.39814,89.86513
Senegal,,0.514,75.3821,46.23905
Antigua and Barbuda,3.8,0.776,95.69547,111.19604
Indonesia,1.2,0.707,93.4963,88.91017
World,,,89.4124,75.97476
Portugal,3.4,0.85,97.56411,120.83398
Ireland,2.8,0.942,95.78041,154.9083
West Bank and Gaza,,,94.84281,90.67231
Russian Federation,8.2,0.824,95.09612,103.76311
Sub-Saharan Africa,,,,43.2942
Ethiopia,0.3,0.47,,
"Hong Kong SAR, China",,0.939,95.45476,107.74028
Latin America & Caribbean (excluding high income),2.1651604,,93.80971,97.96477
Sweden,2.6,0.937,99.18177,151.70454
Syrian Arab Republic,1.5,0.549,,
Latin America & the Caribbean (IDA & IBRD countries),2.091858,,93.75228,97.98037
India,,0.647,,73.79297
Saudi Arabia,2.7,0.857,94.5456,111.7948
Peru,1.6,0.759,95.65167,108.8338
Djibouti,1.4,0.495,66.48037,54.68983
Euro area,6.167491,,97.44854,108.6211
Guinea,,0.466,76.01588,
Angola,,0.574,,50.67148
Bangladesh,0.8,0.614,,72.55813
Maldives,,0.719,95.4151,81.32687
Guinea-Bissau,,0.461,,
Sub-Saharan Africa (IDA & IBRD countries),,,,43.2942
Heavily indebted poor countries (HIPC),,,80.40995,41.69537
Low income,,,80.80115,40.56278
Iceland,3.2,0.938,99.83367,117.97994
Cayman Islands,,,,77.03901
Lower middle income,,,86.9201,67.51709
Zambia,,0.591,83.16745,
Small states,,,85.68541,72.23553
Puerto Rico,,,76.27147,85.193
Timor-Leste,,0.626,92.30953,86.53527
Argentina,5.0,0.83,99.184,108.7336
Australia,3.8,0.938,96.38096,132.77289
Bhutan,1.7,0.617,88.02597,90.09468
Middle East & North Africa (IDA & IBRD countries),1.5166967,,93.3991,78.0769
Tuvalu,,,76.2475,41.1339
Ecuador,1.5,0.758,90.94167,101.43565
"Egypt, Arab Rep.",1.6,0.7,97.03257,89.48068
Tonga,,0.717,,
Singapore,2.4,0.935,99.66959,105.8443
British Virgin Islands,,,,78.29037
Israel,3.1,0.906,97.01884,105.55706
Malaysia,1.9,0.804,99.64564,83.74816
Cote d'Ivoire,,,90.32837,54.61299
Nicaragua,0.9,0.651,,
Kazakhstan,6.7,0.817,86.85584,113.22753
Bolivia,1.1,,92.85137,89.72425
Benin,,0.52,97.21103,59.04252
"Congo, Rep.",,0.609,,
"Gambia, The",,,76.81635,
Fiji,,0.724,96.76212,
Malawi,,0.485,,37.08491
Qatar,1.2,0.848,94.09431,
Mali,,0.427,58.94142,41.02728
Belarus,11.0,0.817,94.92861,102.43953
Thailand,,0.765,,115.15266
Ukraine,8.8,0.75,,
Belgium,6.2,0.919,98.76482,155.96107
Spain,3.0,0.893,97.27171,126.17915
Cabo Verde,,0.651,93.42191,88.15511
Slovak Republic,5.8,,83.09318,91.36261
Tajikistan,4.8,0.656,98.28703,
Mexico,1.5,0.767,95.30064,105.10336
Burundi,0.8,0.423,92.8047,45.09125
Switzerland,4.7,0.946,93.19583,102.57068
United Arab Emirates,1.2,0.866,95.02753,104.94793
Tunisia,2.3,0.739,,92.8658
South Asia (IDA & IBRD),,,87.76227,69.78168
Turks and Caicos Islands,,,,76.53668
New Zealand,2.8,0.921,99.11677,114.63883
Arab World,1.6245236,,84.05164,72.5552
Caribbean small states,2.2672338,,87.89515,87.49074
Turkey,2.7,0.807,87.90006,104.47883
Libya,3.7,0.708,,
Guatemala,0.6,0.651,86.88631,51.14958
Finland,4.4,0.925,98.62944,154.82024
Mauritius,,0.796,94.80512,97.1211
